machine_id,machine_name,location,running_hours,temperature,vibration,pressure,oil_level,error_code,last_maintenance
3,CMM (Máquina de medición por coordenadas),Sala 2A,581,102.3,0.4,232,84,VIBRATION_ALERT,2025-06-12
14,Máquina de envasado,Sala 3B,310,63.2,0.8,170,62,NONE,2025-03-22
17,Compresor de aire,Sala 2A,854,114.5,0.3,166,98,NONE,2025-05-23
4,Mezcladora industrial,Sala 3B,983,114.4,0.5,237,59,NONE,2025-07-11
18,Horno industrial,Sala 3C,305,79.2,0.6,163,93,NONE,2025-04-15
8,CMM (Máquina de medición por coordenadas),Sala 1C,783,89.9,0.3,161,96,NONE,2025-03-24
4,Torno CNC,Sala 1C,954,83.9,0.9,225,59,OVERHEAT,2025-03-31
2,Torre de enfriamiento,Sala 4B,275,98.5,0.7,147,95,NONE,2025-06-29
30,Torre de enfriamiento,Sala 1B,102,104.1,0.5,240,62,NONE,2025-03-17
6,Torno CNC,Sala 4A,989,88.9,0.2,206,86,NONE,2025-05-27
22,Montacargas,Sala 1C,916,92.0,0.1,243,87,NONE,2025-03-22
10,Fresadora CNC,Sala 1C,549,75.7,0.4,161,73,VIBRATION_ALERT,2025-07-07
4,Máquina de envasado,Sala 2B,555,91.6,0.7,226,51,NONE,2025-01-23
22,Espectrómetro,Sala 2B,903,87.4,0.3,235,71,NONE,2025-07-02
29,Banda transportadora,Sala 1B,413,71.3,0.5,247,66,NONE,2025-05-16
18,Caldera industrial,Sala 4C,329,84.8,0.7,163,85,VIBRATION_ALERT,2025-06-07
26,Inyectora de plástico,Sala 4A,642,79.3,0.2,192,63,NONE,2025-04-16
12,Trituradora/molino,Sala 2C,763,75.9,0.6,155,59,NONE,2025-02-12
2,CMM (Máquina de medición por coordenadas),Sala 2B,207,67.8,0.2,201,84,OVERHEAT,2025-02-22
10,Torno CNC,Sala 2C,681,85.9,0.9,222,74,OVERHEAT,2025-07-08
30,Banda transportadora,Sala 1A,108,73.3,0.5,120,52,NONE,2025-04-12
4,Ventilador industrial,Sala 2B,776,77.9,0.2,246,96,NONE,2025-01-22
14,Dobladora de tubos y láminas,Sala 3C,177,101.1,0.4,81,87,NONE,2025-05-09
16,Máquina de soldadura (MIG/TIG/Arco),Sala 4C,785,94.5,0.4,108,66,NONE,2025-04-02
15,Espectrómetro,Sala 4A,770,70.3,0.7,184,61,NONE,2025-05-22
8,Ventilador industrial,Sala 1B,931,90.3,0.7,130,73,NONE,2025-06-15
14,Compresor de aire,Sala 1A,164,87.0,0.6,154,78,NONE,2025-06-29
23,Rectificadora,Sala 4A,258,110.5,0.2,89,92,NONE,2025-05-30
28,Horno industrial,Sala 4B,575,105.7,0.2,221,74,NONE,2025-04-08
25,Torre de enfriamiento,Sala 3C,570,62.0,0.2,130,85,VIBRATION_ALERT,2025-03-03
30,Banda transportadora,Sala 4A,601,97.9,0.6,197,75,NONE,2025-02-09
8,Microscopio industrial,Sala 3C,286,104.0,0.8,200,87,NONE,2025-05-28
21,Máquina de soldadura (MIG/TIG/Arco),Sala 3C,330,93.4,0.4,118,50,NONE,2025-07-04
16,Espectrómetro,Sala 2C,408,80.0,0.2,107,69,VIBRATION_ALERT,2025-04-26
13,Caldera industrial,Sala 3B,250,121.2,0.5,82,77,NONE,2025-03-10
18,Ventilador industrial,Sala 4B,807,94.8,0.7,163,65,NONE,2025-06-12
15,Tamizadora,Sala 1A,327,114.6,0.7,234,96,NONE,2025-03-15
21,Sistema de filtración,Sala 4A,284,105.3,0.8,196,66,NONE,2025-06-09
24,Máquina de soldadura (MIG/TIG/Arco),Sala 2A,543,92.0,0.3,81,89,NONE,2025-05-08
26,Montacargas,Sala 1A,53,76.3,0.3,172,77,NONE,2025-06-09
25,Apiladora/recogedora automática,Sala 3B,715,84.6,0.8,245,61,NONE,2025-05-24
28,Máquina de envasado,Sala 1A,491,81.7,0.6,210,76,VIBRATION_ALERT,2025-02-18
28,Tamizadora,Sala 1C,78,66.8,0.3,223,91,NONE,2025-04-06
28,Máquina de envasado,Sala 2A,158,94.8,0.7,173,96,NONE,2025-03-02
13,Durómetro,Sala 3B,659,108.5,0.8,119,79,OVERHEAT,2025-03-31
9,Máquina de soldadura (MIG/TIG/Arco),Sala 2C,776,80.5,0.6,81,90,NONE,2025-03-05
29,Horno industrial,Sala 4A,854,117.5,0.7,160,83,NONE,2025-04-17
15,Banda transportadora,Sala 4C,124,61.6,0.4,248,86,NONE,2025-04-16
13,Torre de enfriamiento,Sala 3A,887,100.8,0.5,91,55,NONE,2025-05-24
1,Torre de enfriamiento,Sala 3B,195,110.1,0.5,242,56,LOW_OIL,2025-05-20
25,Banda transportadora,Sala 1B,177,81.9,0.8,144,81,VIBRATION_ALERT,2025-03-03
7,CMM (Máquina de medición por coordenadas),Sala 4A,902,82.2,0.8,134,81,NONE,2025-06-10
9,Dobladora de tubos y láminas,Sala 4B,91,100.6,0.8,124,74,NONE,2025-06-21
24,Prensa hidráulica,Sala 3B,405,92.6,0.1,180,82,VIBRATION_ALERT,2025-05-31
1,Torno CNC,Sala 1C,90,55.0,0.7,141,56,OVERHEAT,2025-02-05
12,Máquina de envasado,Sala 3A,983,72.3,0.7,128,61,LOW_OIL,2025-03-16
8,Máquina de envasado,Sala 1C,83,84.8,0.6,206,65,NONE,2025-07-06
24,Máquina de soldadura (MIG/TIG/Arco),Sala 3A,66,64.5,0.7,232,65,NONE,2025-06-13
11,Compresor de aire,Sala 4B,726,77.9,0.8,102,92,OVERHEAT,2025-04-09
19,Torre de enfriamiento,Sala 4C,202,64.8,0.5,231,85,NONE,2025-06-23
17,Molino de bolas,Sala 1B,427,79.4,0.5,117,62,NONE,2025-04-24
8,Espectrómetro,Sala 4A,637,80.0,0.2,107,56,NONE,2025-07-15
3,Máquina de soldadura (MIG/TIG/Arco),Sala 2C,648,90.3,0.4,100,85,NONE,2025-04-28
3,Prensa hidráulica,Sala 1C,678,83.6,0.6,186,96,NONE,2025-02-03
1,Fresadora CNC,Sala 1C,923,92.5,0.7,225,58,NONE,2025-03-14
27,Durómetro,Sala 3C,391,90.8,0.3,243,81,VIBRATION_ALERT,2025-04-22
5,Molino de bolas,Sala 3A,76,100.5,0.2,178,60,NONE,2025-03-14
10,Torre de enfriamiento,Sala 2B,874,98.1,0.6,198,57,LOW_OIL,2025-03-21
7,Microscopio industrial,Sala 4C,336,96.5,0.1,152,82,NONE,2025-06-27
26,Torre de enfriamiento,Sala 4A,695,131.6,0.2,201,72,NONE,2025-03-11
9,Torno CNC,Sala 3A,780,90.2,0.1,109,74,VIBRATION_ALERT,2025-06-18
28,Bomba centrífuga,Sala 3C,217,123.9,0.2,187,57,NONE,2025-03-22
7,Máquina de soldadura (MIG/TIG/Arco),Sala 1A,659,91.2,0.2,177,94,NONE,2025-07-08
9,Trituradora/molino,Sala 3A,317,83.8,0.4,111,71,NONE,2025-06-03
8,Prensa hidráulica,Sala 2C,798,79.4,0.4,235,53,NONE,2025-04-14
12,Banda transportadora,Sala 4A,870,107.6,0.8,158,89,OVERHEAT,2025-07-09
2,Bomba centrífuga,Sala 4C,504,109.6,0.5,120,52,VIBRATION_ALERT,2025-02-01
1,Banda transportadora,Sala 3C,955,94.0,0.7,142,78,NONE,2025-03-13
16,Compresor de aire,Sala 1A,734,102.0,0.2,102,90,NONE,2025-02-17
23,Fresadora CNC,Sala 2A,450,65.8,0.3,183,78,NONE,2025-04-11
23,Apiladora/recogedora automática,Sala 3C,971,61.8,0.7,154,83,OVERHEAT,2025-01-28
30,Sistema de filtración,Sala 2A,525,103.7,0.1,127,83,NONE,2025-03-29
24,Generador eléctrico,Sala 4A,751,83.1,0.5,239,77,NONE,2025-05-20
5,Durómetro,Sala 1C,683,96.2,0.6,136,62,NONE,2025-04-23
3,Bomba centrífuga,Sala 3C,607,74.2,0.6,197,64,NONE,2025-02-24
12,Horno industrial,Sala 1B,625,109.9,0.1,179,72,NONE,2025-05-15
8,Grúa puente,Sala 2A,179,61.9,0.4,203,93,OVERHEAT,2025-05-23
22,Rectificadora,Sala 2C,871,64.2,0.6,240,75,NONE,2025-04-04
27,Sistema de filtración,Sala 1B,412,106.7,0.2,231,53,NONE,2025-07-10
3,Torno CNC,Sala 3B,754,45.9,0.7,246,75,LOW_OIL,2025-06-27
1,Torno CNC,Sala 3B,868,90.7,0.7,113,89,OVERHEAT,2025-02-28
3,Ventilador industrial,Sala 1A,742,83.4,0.9,235,58,NONE,2025-04-21
5,Microscopio industrial,Sala 4C,341,74.0,0.3,244,54,NONE,2025-01-24
15,Extrusora,Sala 1C,420,82.0,0.8,86,81,NONE,2025-07-01
14,Máquina de soldadura (MIG/TIG/Arco),Sala 4A,843,72.3,0.5,244,69,NONE,2025-03-26
3,Horno industrial,Sala 3C,78,108.1,0.4,135,99,NONE,2025-02-01
1,Rectificadora,Sala 2B,198,112.1,0.2,144,60,NONE,2025-02-24
5,Torno CNC,Sala 2C,828,74.7,0.7,126,64,NONE,2025-02-26
26,Torno CNC,Sala 2A,345,89.1,0.3,227,81,OVERHEAT,2025-04-04
23,Inyectora de plástico,Sala 4A,60,65.1,0.4,98,77,NONE,2025-07-04
14,Molino de bolas,Sala 1B,561,101.1,0.2,236,71,NONE,2025-05-17
7,Extrusora,Sala 4B,725,100.7,0.7,225,90,NONE,2025-02-02
27,Horno industrial,Sala 3B,162,80.6,0.7,242,66,VIBRATION_ALERT,2025-07-06
9,Ventilador industrial,Sala 4B,236,85.3,0.7,205,75,LOW_OIL,2025-04-29
15,Trituradora/molino,Sala 2C,856,83.6,0.3,218,93,LOW_OIL,2025-06-17
15,Horno industrial,Sala 2B,793,60.7,0.2,128,56,LOW_OIL,2025-03-04
26,Tamizadora,Sala 3C,276,108.2,0.6,192,91,VIBRATION_ALERT,2025-06-09
10,Fresadora CNC,Sala 1A,359,73.5,0.5,117,75,NONE,2025-02-21
28,Ventilador industrial,Sala 2B,147,73.6,0.2,143,74,NONE,2025-04-28
13,Microscopio industrial,Sala 2C,104,82.7,0.6,148,59,NONE,2025-05-03
19,Grúa puente,Sala 2B,672,99.9,0.9,215,94,OVERHEAT,2025-05-04
7,Rectificadora,Sala 2C,713,76.1,0.7,241,68,OVERHEAT,2025-01-28
17,Compresor de aire,Sala 2C,807,55.7,0.7,195,60,NONE,2025-06-11
20,Apiladora/recogedora automática,Sala 3A,455,71.7,0.9,144,62,NONE,2025-05-09
29,Torre de enfriamiento,Sala 2A,118,91.4,0.3,110,57,NONE,2025-06-01
4,Inyectora de plástico,Sala 4B,361,117.8,0.6,211,89,VIBRATION_ALERT,2025-07-01
30,Ventilador industrial,Sala 3B,338,66.1,0.9,192,53,NONE,2025-02-25
5,Torre de enfriamiento,Sala 3A,811,65.6,0.2,188,96,NONE,2025-06-10
23,Molino de bolas,Sala 3C,597,62.3,0.7,148,80,NONE,2025-04-21
7,Torre de enfriamiento,Sala 3A,800,60.4,0.6,237,77,NONE,2025-05-18
13,Máquina de envasado,Sala 1C,197,103.1,0.6,199,60,LOW_OIL,2025-02-28
15,Fresadora CNC,Sala 1C,516,107.4,0.7,167,92,NONE,2025-04-01
11,Microscopio industrial,Sala 3B,788,87.7,0.8,146,50,OVERHEAT,2025-04-29
29,Mezcladora industrial,Sala 2B,293,78.0,0.7,154,98,NONE,2025-03-07
4,Dobladora de tubos y láminas,Sala 2A,540,111.9,0.1,124,96,NONE,2025-05-03
13,Prensa hidráulica,Sala 3B,898,87.6,0.8,83,87,NONE,2025-04-20
7,Torre de enfriamiento,Sala 2C,556,101.3,0.3,233,73,OVERHEAT,2025-07-05
27,CMM (Máquina de medición por coordenadas),Sala 1B,414,77.3,0.4,234,96,NONE,2025-04-15
19,Grúa puente,Sala 2A,531,85.7,0.5,186,80,NONE,2025-05-26
22,Trituradora/molino,Sala 4C,250,66.4,0.5,130,90,NONE,2025-03-09
28,Extrusora,Sala 4B,203,94.4,0.4,129,95,VIBRATION_ALERT,2025-06-10
2,Ventilador industrial,Sala 2A,499,87.9,0.8,85,99,NONE,2025-05-08
10,Bomba centrífuga,Sala 2C,550,71.6,0.7,138,75,LOW_OIL,2025-06-24
13,Prensa hidráulica,Sala 2C,122,71.8,0.6,204,98,NONE,2025-05-03
30,Caldera industrial,Sala 1A,762,109.2,0.1,222,99,NONE,2025-02-09
25,CMM (Máquina de medición por coordenadas),Sala 3B,345,114.6,0.8,109,54,NONE,2025-02-03
21,Ventilador industrial,Sala 2C,66,81.8,0.8,249,69,NONE,2025-03-21
6,Caldera industrial,Sala 1C,690,86.0,0.7,201,90,NONE,2025-05-27
28,Prensa hidráulica,Sala 3C,266,91.0,0.1,204,60,NONE,2025-02-13
28,Molino de bolas,Sala 1B,110,87.2,0.1,116,82,NONE,2025-03-10
12,Máquina de soldadura (MIG/TIG/Arco),Sala 4B,988,59.9,0.3,249,99,VIBRATION_ALERT,2025-02-19
12,Mezcladora industrial,Sala 3B,665,91.4,0.2,203,87,NONE,2025-04-14
20,Bomba centrífuga,Sala 4A,91,53.7,0.4,180,76,OVERHEAT,2025-02-03
30,Rectificadora,Sala 1C,74,74.0,0.8,114,83,NONE,2025-05-08
30,Apiladora/recogedora automática,Sala 4C,88,92.6,0.5,166,64,NONE,2025-05-18
11,Rectificadora,Sala 2B,852,94.0,0.1,213,81,NONE,2025-07-13
26,Banda transportadora,Sala 2C,180,72.8,0.3,97,70,NONE,2025-06-17
23,Prensa hidráulica,Sala 4A,547,78.1,0.1,192,95,NONE,2025-04-11
28,Grúa puente,Sala 2C,278,76.1,0.1,108,54,NONE,2025-03-03
25,Apiladora/recogedora automática,Sala 2A,157,83.5,0.3,156,55,NONE,2025-03-10
7,Dobladora de tubos y láminas,Sala 1C,221,84.6,0.3,138,87,NONE,2025-05-04
30,Bomba centrífuga,Sala 2A,484,95.0,0.7,205,71,LOW_OIL,2025-01-23
1,Compresor de aire,Sala 1A,527,77.2,0.9,224,67,LOW_OIL,2025-05-21
1,Máquina de envasado,Sala 2A,151,90.6,0.4,188,63,NONE,2025-06-18
25,Máquina de soldadura (MIG/TIG/Arco),Sala 1A,915,92.6,0.4,101,59,NONE,2025-04-17
27,Horno industrial,Sala 4C,573,88.0,0.8,147,95,NONE,2025-05-11
30,Apiladora/recogedora automática,Sala 1A,324,81.1,0.3,148,62,NONE,2025-05-28
25,Compresor de aire,Sala 4A,662,87.7,0.2,244,80,NONE,2025-04-21
20,Trituradora/molino,Sala 2C,93,96.3,0.8,128,79,NONE,2025-03-14
13,Compresor de aire,Sala 2B,866,97.6,0.1,220,52,NONE,2025-01-31
9,Caldera industrial,Sala 4B,66,112.2,0.6,241,79,NONE,2025-06-18
3,Rectificadora,Sala 2A,379,70.1,0.5,188,55,NONE,2025-04-26
7,Mezcladora industrial,Sala 4B,618,78.4,0.4,165,78,LOW_OIL,2025-03-14
6,Máquina de envasado,Sala 1C,872,60.8,0.4,132,57,OVERHEAT,2025-02-19
8,Apiladora/recogedora automática,Sala 1A,546,99.0,0.7,202,93,NONE,2025-03-09
27,Apiladora/recogedora automática,Sala 2C,864,80.0,0.2,166,94,VIBRATION_ALERT,2025-07-06
9,Máquina de envasado,Sala 1B,61,88.1,0.3,210,92,VIBRATION_ALERT,2025-06-04
30,Durómetro,Sala 3B,367,75.9,0.7,121,93,NONE,2025-03-14
5,Banda transportadora,Sala 4A,641,80.1,0.5,177,82,NONE,2025-01-30
1,Caldera industrial,Sala 2B,265,103.3,0.2,239,66,NONE,2025-03-27
19,Espectrómetro,Sala 3A,388,95.4,0.8,188,97,VIBRATION_ALERT,2025-01-23
10,Trituradora/molino,Sala 4A,825,83.3,0.4,130,60,LOW_OIL,2025-06-29
12,Generador eléctrico,Sala 4C,710,96.5,0.8,164,62,NONE,2025-04-29
24,Microscopio industrial,Sala 1B,130,96.8,0.7,206,99,NONE,2025-02-05
15,Apiladora/recogedora automática,Sala 3B,776,79.1,0.6,100,60,NONE,2025-03-12
27,Prensa hidráulica,Sala 1B,534,63.0,0.5,123,80,NONE,2025-02-26
22,Horno industrial,Sala 2A,423,71.5,0.9,218,77,NONE,2025-07-02
24,Ventilador industrial,Sala 1A,759,64.9,0.2,182,93,LOW_OIL,2025-02-17
9,Mezcladora industrial,Sala 2B,249,102.5,0.7,147,55,NONE,2025-05-22
20,Microscopio industrial,Sala 3C,586,105.1,0.3,208,90,LOW_OIL,2025-05-08
17,Horno industrial,Sala 1A,515,108.8,0.4,171,65,LOW_OIL,2025-04-01
30,Mezcladora industrial,Sala 3C,138,54.7,0.3,103,53,OVERHEAT,2025-06-26
17,Dobladora de tubos y láminas,Sala 4B,317,101.1,0.9,204,84,NONE,2025-01-26
26,Sistema de filtración,Sala 3B,704,118.2,0.9,220,97,NONE,2025-05-08
20,Tamizadora,Sala 2C,620,101.7,0.2,190,75,NONE,2025-07-11
12,Durómetro,Sala 3A,971,52.7,0.1,177,61,NONE,2025-05-21
30,Microscopio industrial,Sala 1C,538,111.5,0.7,218,60,NONE,2025-03-30
7,Torre de enfriamiento,Sala 1A,926,85.6,0.4,96,86,NONE,2025-07-06
2,Montacargas,Sala 2B,587,81.5,0.2,178,74,NONE,2025-02-02
3,Banda transportadora,Sala 4C,96,91.8,0.6,161,67,NONE,2025-02-13
17,CMM (Máquina de medición por coordenadas),Sala 4C,337,69.3,0.5,183,68,NONE,2025-07-03
5,Máquina de soldadura (MIG/TIG/Arco),Sala 1B,827,85.0,0.9,231,72,NONE,2025-03-22
17,Rectificadora,Sala 2B,65,109.3,0.3,98,87,OVERHEAT,2025-07-17
24,Horno industrial,Sala 3B,760,94.3,0.4,244,67,OVERHEAT,2025-02-24
17,Caldera industrial,Sala 4B,450,85.9,0.5,164,75,NONE,2025-06-19
27,Durómetro,Sala 3C,968,86.3,0.7,87,55,NONE,2025-04-07
17,Generador eléctrico,Sala 1B,843,67.3,0.5,107,53,NONE,2025-07-06
2,CMM (Máquina de medición por coordenadas),Sala 4C,135,82.8,0.6,84,93,NONE,2025-04-14
2,Prensa hidráulica,Sala 1C,299,60.5,0.3,224,78,NONE,2025-04-16
28,CMM (Máquina de medición por coordenadas),Sala 1C,440,100.3,0.8,180,83,LOW_OIL,2025-04-28
22,Compresor de aire,Sala 1A,831,52.2,0.4,243,66,NONE,2025-07-06
23,Banda transportadora,Sala 3B,384,97.8,0.2,197,92,NONE,2025-01-29
5,Caldera industrial,Sala 2C,678,99.7,0.6,226,92,NONE,2025-04-16
1,Dobladora de tubos y láminas,Sala 4C,568,104.8,0.3,143,65,NONE,2025-02-20
1,Trituradora/molino,Sala 3B,186,86.3,0.2,170,51,NONE,2025-03-29
19,CMM (Máquina de medición por coordenadas),Sala 4B,932,98.7,0.8,196,83,NONE,2025-05-25
30,Molino de bolas,Sala 3C,737,82.6,0.5,177,57,NONE,2025-04-29
2,Torre de enfriamiento,Sala 2B,889,67.2,0.7,90,62,NONE,2025-02-01
21,Dobladora de tubos y láminas,Sala 4C,547,108.0,0.3,133,91,NONE,2025-03-25
12,Tamizadora,Sala 1C,876,83.5,0.7,126,57,NONE,2025-02-26
26,Torre de enfriamiento,Sala 2B,776,63.9,0.2,219,79,NONE,2025-04-02
6,Máquina de soldadura (MIG/TIG/Arco),Sala 2B,526,78.0,0.4,228,81,VIBRATION_ALERT,2025-05-27
23,Rectificadora,Sala 2B,643,78.6,0.9,218,85,NONE,2025-03-13
4,Compresor de aire,Sala 1C,272,91.9,0.7,84,96,NONE,2025-02-11
23,Ventilador industrial,Sala 4B,421,120.2,0.5,99,79,NONE,2025-02-08
11,Extrusora,Sala 4A,984,92.8,0.4,248,50,NONE,2025-05-23
24,Extrusora,Sala 2A,451,88.1,0.8,125,92,NONE,2025-05-28
27,Grúa puente,Sala 3C,492,121.8,0.5,91,88,NONE,2025-03-04
17,Montacargas,Sala 4A,539,99.7,0.7,149,66,OVERHEAT,2025-03-30
6,Horno industrial,Sala 3C,664,88.8,0.7,96,69,NONE,2025-07-18
24,Mezcladora industrial,Sala 1B,322,77.8,0.1,194,73,NONE,2025-06-05
5,Molino de bolas,Sala 3B,575,89.7,0.2,226,99,NONE,2025-05-05
20,Torre de enfriamiento,Sala 3B,208,84.0,0.6,233,71,LOW_OIL,2025-04-12
2,Horno industrial,Sala 3A,201,86.4,0.2,127,78,NONE,2025-07-10
6,Apiladora/recogedora automática,Sala 3B,669,104.7,0.3,187,71,NONE,2025-06-17
22,Ventilador industrial,Sala 1C,237,76.9,0.9,131,93,NONE,2025-07-04
